,country_name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unnamed:_65
37,Switzerland,CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191193236430.017,195848715687.21,200224296291.477,204712100849.822,211738482724.215,217217870076.852,223004397318.791,232310959374.429,241065489560.29,248740021832.269,264184231312.542,273987586086.831,282753110962.942,285053270982.814,298070936029.308,310493723866.738,348024846014.13,386678345599.465,413714805073.377,413164395107.145,429262364074.643,458820195091.514,479280657897.069,503360260789.332,524917052399.004,546805476343.839,570267482220.765,584052319305.968,610138577242.876,617711114452.177,619632654690.619,
39,Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59789059112.4313,66729735171.1657,77021084269.3156,85199851653.6722,92908933315.4046,105559120796.178,116683584095.731,127512263215.29,134523911453.414,135857469922.426,146336489247.979,154575763031.64,161862285225.401,171809556829.71,189140716087.794,206274402670.254,257648250742.035,280051852457.172,275716447509.868,272874099668.821,309886433252.551,350575241993.779,374241571983.126,394291936706.683,404667282590.131,407878247566.737,426776809813.152,451984540685.83,481604385837.929,481296362634.805,480011057804.56,
40,China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114609270737.99,1259038032531.46,1470903969296.07,1714826334398.25,1979777658965.89,2242702993468.48,2510374158399.84,2791287913776.8,3044172457140.99,3324725650183.3,3687631479659.45,4082650449958.1,4526020825779.07,5072833908567.97,5736264892179.38,6588930215901.39,7651864506954.52,8975592720883.64,10033234295495.5,11059907750616.4,12378807960428.5,13844365195917.5,15124538193948.2,16185063329894.8,17121277216284.5,17796747505545.6,18712096136720.3,19887033884256.7,21739076706358.4,23443654490268.2,24283173525726.7,
42,Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23033811165.4139,22905827117.8255,22701566883.5414,21396284929.0253,22263328885.8535,23387980188.7327,24820076881.7408,26407677165.172,27966850358.7757,29650522462.6047,31475086611.4931,33556388037.8298,35613262341.5814,38252746099.2539,42051567133.1573,44327659459.2505,47408907737.6246,50789219291.4876,53251582565.5329,55041509206.8252,57297141170.4021,60470659955.3627,63568300988.4898,69098828117.5587,75134546784.6375,79112640283.0814,84392895095.8137,90037541682.2009,95846283525.1766,100947459093.936,102666639751.706,
45,Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165811635955.11,174850125639.26,186068544808.866,200737076273.821,216945096246.472,233017318086.982,242162000289.259,254947667572.912,259286156704.976,251971929037.137,265139277582.619,275501257541.087,286866650068.874,303642993712.837,328447014346.08,355031898592.063,390344576673.225,427839048098.505,450482195444.044,459089499041.973,485313992986.772,529875186711.481,553768023392.024,591783692551.881,625019201607.325,630399533935.377,665398390495.011,693117074956.624,747103674534.628,789757065676.292,759734724899.769,
48,Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15678783414.2941,16576242557.3573,18513955411.5498,20297915420.7815,21668218046.6987,23041540614.5877,23780287864.5176,25531053263.2367,27665797414.2261,29248133923.755,31058791334.8597,32848141545.3133,34507855087.3886,36666131356.592,39319267442.9611,42156341156.5844,46614214406.8546,51798690334.946,55308295226.2851,55243161553.0573,58882611697.158,62759466861.9615,67139321098.5641,71159735248.1801,77049117295.2325,82852849095.5182,93454856085.3431,100716906502.792,106583345257.91,113627163314.195,112745322583.036,
50,Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131419297499.264,120083115363.605,122197564736.518,125171497874.354,131563824020.572,143054656656.672,151486468032.571,152755233759.937,154186257585.989,158333514882.971,166495876725.921,180027349697.595,186119951272.35,199171050597.008,213446517773.41,225620777980.803,244952531303.089,270677664616.304,290503942992.86,289939424868.029,292047164409.841,304400911032.007,307490190596.132,324029971676.001,342099831459.922,357503876184.69,381420338169.846,411327867894.58,437267328659.807,457257664449.272,445116746875.777,
55,Germany,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545176827060.22,1679031586927.31,1750319818022.52,1774305509813.0,1855538674677.53,1923702147577.82,1971845440355.01,2015814867579.01,2079491446338.83,2158514818382.19,2236074430853.75,2336147411682.35,2406901890705.46,2468443651729.98,2585550983186.35,2622040720917.68,2814007980424.13,2985239513055.61,3103957698735.13,3015302562180.53,3185431779787.34,3415020684916.05,3487232707438.34,3628559701800.76,3807112936430.42,3889081660716.44,4165169650070.14,4386727409191.68,4579331237558.63,4624363265512.61,4560920212744.35,
58,Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93739604610.7382,98260217073.7512,102466266525.207,104906270256.773,112860009869.278,118715155455.904,124918174865.793,131746385113.741,136923422867.491,141846293400.642,153023382540.494,157748158240.634,164720383885.92,166139588818.315,178017919042.553,185074466960.377,202997234258.654,213029955607.664,226767483101.984,222754191687.791,238567314908.751,247352252302.688,250524614311.535,262368108591.261,270330620655.251,278748351517.934,297719080444.573,319130157564.111,333035360346.746,341312238517.289,351224965911.196,
60,Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178047567922.31,181859886497.691,189352392099.66,189770030942.639,192078030027.636,203557722609.973,215783472692.771,222058101995.973,236009847302.676,247078725218.762,262200986944.893,275990734942.795,296056204527.986,323266156103.441,346243840928.989,378093856037.232,396157857604.801,420630954507.825,439104287291.437,449531027555.169,471140881148.338,494931055076.358,497330252318.817,497988213510.825,506135102251.566,477357607218.836,471383269260.918,485801342039.043,502937459259.169,517034811595.932,496579551594.759,
66,Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49383226759.2146,53244119487.0415,55608906070.8352,58050320361.7702,61814654840.704,64532449392.3938,66852018674.3677,70992445182.7899,74136569424.8266,71642608049.4488,74043841103.1165,78706481802.139,83226863411.5377,87080715749.4805,96767828100.1704,105061868142.164,113007687560.374,118584813696.74,128576671514.5,130290804563.046,136455680459.363,150266909235.128,159559695566.132,175196209316.482,186846614273.657,179309604311.665,181967413007.433,195010792573.628,202267590160.504,205903294944.802,192234762365.032,
70,Spain,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531637946204.733,563609757928.199,581810563642.031,589457426073.888,616392917388.776,646671646233.594,677135066301.249,717538138403.714,768132861026.99,805891424628.996,875626967403.777,937483533692.906,1009753311276.12,1056636426855.48,1122134235110.56,1205129771230.45,1363895505008.85,1468493057167.43,1528583945708.69,1487896577201.85,1475682464741.84,1489595017146.76,1483646917303.62,1512074688796.68,1558305994181.4,1621069891987.84,1733214656948.48,1841780549395.31,1904499539409.75,1965293955067.71,1788269872312.89,
77,France,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027398703008.44,1073275781554.92,1115291957450.63,1134550414186.96,1186105917124.07,1236488955289.32,1275900786162.88,1333841993452.42,1405918415100.23,1470523899441.7,1589245772376.34,1686718979590.94,1762926373243.27,1753606060052.07,1822232702082.18,1926880446239.76,2065693291963.23,2184319695399.6,2259256991361.58,2243914592231.91,2334676211515.6,2446475413051.0,2474003939353.38,2608522466158.15,2662033396692.53,2718496736713.76,2864106383742.44,2983008898740.32,3125379876905.32,3300063763854.41,3166261521877.82,
83,Ghana,GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18268245971.0552,19883562044.7859,21125636048.7714,22675265176.0398,23923740883.31,25429872679.9286,27087315137.4021,28728687636.7263,30417594045.6373,32214460992.1952,34153187509.3857,36298404712.2568,38531824462.3628,41288261828.3334,44774219863.6373,48892878511.0014,53596271579.8169,57428333017.0412,63902175177.1407,67508666321.5846,73690444294.1948,85797385076.0381,98315093257.2606,140882670454.275,151592328449.185,144983754861.81,142202680902.213,148982694254.14,162018563034.433,175642865975.039,178496430291.204,
89,Greece,GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135662961716.174,144598774637.096,148929193667.723,150019949588.098,156287971430.831,162915634113.977,171283827746.424,182903868476.271,193331471980.936,198711870247.148,210888280059.065,227613606520.601,246559427543.151,261143779868.687,278922849647.379,281028288686.782,314621986988.324,323944154182.624,341817993053.192,337199589172.553,310430983258.469,285079593304.756,275143590350.289,284949103892.689,290011169381.561,289570760339.534,296466369907.234,307636097252.196,317881651462.228,325467199371.978,299066091543.372,
