,country_name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,unnamed:_65
4,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,-7.71027785396241,-3.49038324819773,0.548516268830483,2.28850779793871,-0.107614902760872,-0.670777628829072,0.488466542816624,2.4966296357011,-3.33595391564026,-6.65746725814343,-2.31086799729711,-8.87693119524158,-26.4117713544843,-1.87789751012431,11.3595386650654,9.95278659158234,3.87785809963763,1.36474401726814,-1.08529845116867,-0.267956297993877,0.822138301563214,9.94375774324121,-0.43183389028259,7.18706369608022,11.0307829426052,7.58231872566577,9.89004908967451,7.11684790462024,-2.80859959622148,0.640263325028357,-0.220842987712189,4.7065188600379,1.29199384519865,1.2198806209574,-2.46873730689103,-5.81618754909985,-3.40998337557743,-5.16211179066241,-3.7956079652012,-8.39624119385249,
8,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,0.154395318524962,5.35067952701831,-13.3860404602886,8.43164646676371,13.2121400563276,-2.6987336942244,-12.1820232275995,-9.68052433618057,-1.2493706051328,-8.68902715204911,-19.6748189208723,-2.49252311589997,-8.21745806286394,5.9187171246771,11.6777689161566,-4.80063554272371,-2.48118749373106,-4.34175105789512,1.24742436850995,1.35494771881514,0.630737901066453,2.83466487200788,-4.76511125165072,-2.3994883205427,4.9091597030279,-3.77890533210494,-2.75030295382335,1.96632118700073,-0.0380101659582976,-7.02036305064239,-4.9166693070077,-11.3456527143693,-10.2086460930316,-15.1512246817973,-5.91493077766168,2.18634402990557,2.25709897595851,4.40993826131566,4.22567716724525,4.50781768694726,1.90520573929507,1.01143077389321,-0.320590314360061,1.93443148259161,-7.2721729746159,
9,Argentina,ARG,,3.72877851709588,-2.42584315296762,-6.78823959363918,8.43724398819489,8.89680927941254,-2.13647776603487,1.67843470312449,3.28693767970643,8.05027928080592,1.47949440860586,4.00746532181198,0.0058359506333687,1.15692075574981,3.85175778367291,-1.58782938560111,-3.50639094469648,5.34299004669241,-5.91640145293687,8.57769017081557,-0.0296099981834743,-6.66849781956685,-2.3077661380714,2.68198183570003,-0.0518465917889301,-6.69259067380369,4.48432686155165,1.10606452417427,-2.60323622749577,-8.54086201224274,-3.87408535421757,7.61432641480513,6.48763181805525,6.80292690150243,4.50545680141448,-4.03215881088221,4.27458646483123,6.86473336181048,2.68100281607806,-4.4551784591153,-1.87493636731784,-5.44704817261687,-11.8547817184023,7.67653404752819,7.88493750549884,7.72948899640498,6.95553357619964,7.9242108884188,3.02950065191851,-6.85422505520184,9.30012292248985,4.78868313859435,-2.14528444981812,1.26568517537076,-3.57858050983289,1.62966427946263,-3.11006389821465,1.75764818265694,-3.60160975657155,-2.99438788864292,-10.7651077297352,
13,Australia,AUS,,0.464272841729567,-1.14783926662849,4.19734994414505,4.8997060158038,3.92418569443652,0.0708806264874511,4.97023712595779,3.25731723061205,4.82636441362362,5.08488123486703,0.542875961259725,2.01650232004111,1.06226509266496,1.50339189733786,0.0956650322482062,1.56782593896072,2.43226026838195,-0.272382968871057,2.93241749918668,1.78708039101825,1.71191514327921,1.61420796983991,-3.43711705686596,3.41834533995349,3.82274903959301,2.33980885428716,0.999993493461133,4.0275705632889,2.12125930120597,2.05192904909737,-1.6565726788688,-0.797268925185989,3.02073114445136,2.8856358598897,2.58704322529762,2.49888469053339,2.75232027591224,3.52934917138184,3.74459075244904,2.68086499604787,0.671692881827951,2.75267950015518,1.8457654959213,3.00431491364444,1.80778402361102,1.22256105447553,3.12228858599492,1.52196953655246,-0.211201149548302,0.595353727107323,1.05574787694091,2.1188970289609,0.849416992679778,1.04448964055885,0.712256477964445,1.1493474640983,0.587161102950546,1.302840712022,0.571102988410345,-1.25459826868642,
14,Austria,AUT,,4.96071718349175,2.02146966677637,3.47146615932408,5.41933601415172,2.81001278561553,4.90447900377782,2.24100975848387,3.9312418288779,5.909495926435,5.95049661811298,4.64694273134189,5.59238153081114,4.31090578116728,3.76537303179903,-0.0990300819682375,4.76336986923367,5.03964761322793,-0.129830487672749,5.53644793334178,1.73137779245161,-0.398620517722108,1.93812150521796,3.13962807993062,0.0575730929909071,2.45056567143844,2.23640235489538,1.29304527917799,3.14974650846239,3.42010178477146,3.55354764697123,2.41398645387723,0.97609224004664,-0.298754361000036,2.0087619437808,2.51091269369834,2.21143493269341,1.97797590805702,3.46782994124915,3.35504466142362,3.12743665014771,0.88025909788611,1.15267633135774,0.450946527234535,2.09971116889712,1.54987731693588,2.94341785870446,3.39173082681461,1.14330711888604,-4.01634004211772,1.59257712849987,2.57644831811446,0.222450576943075,-0.562298942527448,-0.122370667337563,-0.111540189504495,0.892469139632297,1.55072408627153,2.00355252390945,1.04090811975335,-7.12447972593793,
17,Belgium,BEL,,4.63025713410768,4.79403451766454,3.57435354079992,5.9491393563053,2.62444466112051,2.46146245343786,3.29157574176963,3.78504436430799,6.32828364655947,5.47879045116598,3.79648857021621,4.88408823965759,6.04748869860843,4.23677749584877,-2.2488296459421,5.46414001910085,0.501978716739828,2.74598979013953,2.2491275158491,4.32900827500772,-0.276653455476932,0.622329069570625,0.319812264093457,2.46792156248318,1.6215189754227,1.78646965584545,2.21947811567212,4.39079500978028,3.09399912598727,2.83026797508926,1.45537172593085,1.11956586015553,-1.34799970972101,2.90931876907965,2.17055027384056,1.12366901833482,3.54278906412047,1.7443238954726,3.30570651382183,3.46545257130404,0.752482909593709,1.25198460635012,0.615879780344869,3.12392891839559,1.76045559407572,1.87818319997308,2.91833834881372,-0.343452718095421,-2.80592074025158,1.928764195703,0.38003456979618,0.11640257847661,-0.0131483860964465,1.12859572471172,1.45189336758756,0.755268919102846,1.22886623616918,1.35679144535901,1.59897001717071,-6.20677030768924,
21,Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,4.55114422929732,2.03229416461934,3.1725208807031,3.15480736665847,2.6849533947448,4.23524126936118,5.89861249444566,10.8200908463928,-2.15169070485987,-7.46320765454837,-7.53406882935201,-6.27126389725564,-0.691213461219803,2.16435873128593,3.31418764439739,5.74936890324838,-13.590922948826,4.48402565810406,-7.88107310149523,5.10505561982659,5.91115959894928,8.19521551354288,6.07406238426114,7.31740552554197,7.86550022289509,7.61684962906293,7.37801683034824,6.86349070130127,-2.64664096054558,2.21243106343319,2.75801177413106,1.34021710890744,-0.002423380385224,1.54238792053928,4.09010768554509,3.76506855458946,3.51553833482474,3.42872477679667,4.77250206361659,-3.81151594165073,
24,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1907460373242,92.2018146070931,35.4093113785551,15.6536123983712,9.33605346357309,12.5302994025325,2.30500384516668,4.91918689576514,3.7901118069877,6.26834949234085,3.86577704345757,5.41148399654175,5.93114323532453,5.68340837841161,-2.52892152446536,1.69500203332376,2.18125388158525,0.724336968548414,4.15191547982994,2.91112061804874,4.67468789470115,4.46265636890475,4.24050974081906,4.60162519334784,3.5453373948871,-2.60143470404519,
28,Bolivia,BOL,,0.118310323755338,3.52336107184912,4.69990872851444,1.8928877835932,2.80663481427199,4.99593903871198,4.14054583215768,6.2859066471961,2.29080965831641,3.00728654536752,2.82189451237839,5.64690895353554,3.45192101199849,0.701250710452953,4.96974518185236,2.32227541748193,2.66639783088219,-0.175360695585752,-2.01998334564075,-3.44898509097696,-1.78663927114187,-5.87581223033173,-5.9582314884122,-2.20047831019895,-3.67062154166578,-4.57623467533713,0.337258183201826,0.759237940062093,1.61585655660591,2.44513520060381,3.06529245641998,-0.475045193612146,2.10287960027635,2.50945536832189,2.54219879597059,2.25602376439265,2.86258293935326,2.96284499411279,-1.52282628284711,0.544854522773065,-0.235740273711158,0.579784521069413,0.831475280603414,2.29839087818364,2.57492541077102,2.97725340909743,2.7813671403387,4.36849427320556,1.64916436138168,2.42930231248324,3.51107396436072,3.45365840732083,5.12759312298883,3.84374986176451,3.28269893653157,2.73197634742475,2.69615523107971,2.75216346209768,0.796516093647838,-10.0785803454608,
29,Brazil,BRA,,5.48410420224177,3.53078611981283,-2.2840822220941,0.476589203480742,-0.435883258059846,3.80769066980129,1.43116762649382,6.94374233511847,6.71425587029823,7.65296946540528,8.63634343659318,9.27638466712229,11.2937882733859,5.62667834225599,2.70461489791339,7.67146288143064,2.47541615735325,2.51184144545813,4.26238341945052,6.65253708195542,-6.47874834061049,-1.50386286222877,-5.14249113412122,3.06343305338734,5.54547922272781,5.28365371395449,1.48522240530053,-1.96371437601724,1.25596285558044,-6.06711785432853,-0.729838954979584,-2.22770853706096,3.19229935874152,4.13750878454231,2.55952338703105,0.597763255895359,1.79060343608302,-1.18436477142068,-1.00913730251385,2.91182643514742,0.0133708606751668,1.70947096619183,-0.122933723843431,4.49707706267368,2.02630422889041,2.83475848402813,4.97470189602738,4.05441066380965,-1.08194236869856,6.52437005565609,3.02640196933812,1.01454082117884,2.10888584808248,-0.352483145005351,-4.35147506604415,-4.06941092381417,0.508337980314494,0.988960032623851,0.651853445818901,-4.74055319539093,
