,sofifa_id,short_name,short_name,long_name,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,club_name,nationality_id,nationality_name
44,192318,M. Götze,M. Götze,Mario Götze,21000000.0,150000.0,22,176,72,21.0,FC Bayern München,21,Germany
45,5479,Casillas,Casillas,Iker Casillas Fernández,16500000.0,140000.0,33,185,84,243.0,Real Madrid CF,45,Spain
47,45197,Xabi Alonso,Xabi Alonso,Xabier Alonso Olano,11500000.0,170000.0,32,183,77,21.0,FC Bayern München,45,Spain
50,139869,W. Sneijder,W. Sneijder,Wesley Sneijder,21000000.0,160000.0,30,170,67,325.0,Galatasaray SK,34,Netherlands
52,146562,Santi Cazorla,Santi Cazorla,Santiago Cazorla González,20000000.0,150000.0,29,168,66,1.0,Arsenal,45,Spain
53,148803,K. Huntelaar,K. Huntelaar,Klaas-Jan Huntelaar,21000000.0,160000.0,30,186,83,34.0,FC Schalke 04,34,Netherlands
54,152729,Piqué,Piqué,Gerard Piqué Bernabéu,20500000.0,190000.0,27,192,85,241.0,FC Barcelona,45,Spain
55,162895,Cesc Fàbregas,Cesc Fàbregas,Francesc Fàbregas i Soler,23000000.0,180000.0,27,179,85,5.0,Chelsea,45,Spain
56,165239,S. Nasri,S. Nasri,Samir Nasri,23000000.0,180000.0,27,175,75,10.0,Manchester City,18,France
57,167664,G. Higuaín,G. Higuaín,Gonzalo Gerardo Higuaín,27000000.0,170000.0,26,184,82,48.0,Napoli,52,Argentina
59,177509,M. Benatia,M. Benatia,Medhi Amine El Mouttaqi Benatia,20500000.0,170000.0,27,188,88,21.0,FC Bayern München,129,Morocco
60,179846,S. Khedira,S. Khedira,Sami Khedira,19500000.0,180000.0,27,189,85,243.0,Real Madrid CF,21,Germany
61,182493,D. Godín,D. Godín,Diego Roberto Godín Leal,19000000.0,180000.0,28,186,78,240.0,Atlético de Madrid,60,Uruguay
63,188152,Oscar,Oscar,Oscar dos Santos Emboaba Júnior,21000000.0,150000.0,22,179,67,5.0,Chelsea,54,Brazil
64,2196,R. Weidenfeller,R. Weidenfeller,Roman Weidenfeller,11500000.0,100000.0,33,188,85,22.0,Borussia Dortmund,21,Germany
65,13732,J. Terry,J. Terry,John Terry,7000000.0,100000.0,33,187,90,5.0,Chelsea,14,England
66,53612,P. Mertesacker,P. Mertesacker,Per Mertesacker,12500000.0,130000.0,29,198,90,1.0,Arsenal,21,Germany
67,112253,J. Toulalan,J. Toulalan,Jérémy Toulalan,10500000.0,90000.0,30,183,77,69.0,AS Monaco,18,France
68,120533,Pepe,Pepe,Kléper Laveran de Lima Ferreira,10000000.0,130000.0,31,188,81,243.0,Real Madrid CF,38,Portugal
70,140601,N. Vidić,N. Vidić,Nemanja Vidić,9000000.0,130000.0,32,190,88,44.0,Inter,51,Serbia
71,142754,J. Mascherano,J. Mascherano,Javier Alejandro Mascherano,11500000.0,130000.0,30,174,74,241.0,FC Barcelona,52,Argentina
72,146439,Negredo,Negredo,Álvaro Negredo Sánchez,17000000.0,140000.0,28,186,79,461.0,Valencia CF,45,Spain
73,146530,Dani Alves,Dani Alves,Daniel Alves da Silva,10000000.0,140000.0,31,173,64,241.0,FC Barcelona,54,Brazil
74,146536,Jesús Navas,Jesús Navas,Jesús Navas González,15500000.0,150000.0,28,170,60,10.0,Manchester City,45,Spain
75,146748,Diego López,Diego López,Diego López Rodríguez,13000000.0,130000.0,32,196,87,47.0,AC Milan,45,Spain
76,148119,I. Akinfeev,I. Akinfeev,Igor Akinfeev,15500000.0,150000.0,28,186,78,315.0,PFC CSKA Moscow,40,Russia
77,158133,J. Farfán,J. Farfán,Jefferson Agustín Farfán Guadalupe,14500000.0,130000.0,29,178,84,34.0,FC Schalke 04,59,Peru
78,162347,João Moutinho,João Moutinho,João Filipe Iria Santos Moutinho,16500000.0,110000.0,27,171,61,69.0,AS Monaco,38,Portugal
80,167628,S. Ruffier,S. Ruffier,Stéphane Ruffier,15000000.0,130000.0,27,188,90,1819.0,AS Saint-Étienne,18,France
81,168609,Miranda,Miranda,João Miranda de Souza Filho,12500000.0,130000.0,29,186,76,240.0,Atlético de Madrid,54,Brazil
82,168651,I. Rakitić,I. Rakitić,Ivan Rakitić,19500000.0,160000.0,26,184,75,241.0,FC Barcelona,10,Croatia
