,sofifa_id,short_name,short_name,long_name,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,club_name,nationality_id,nationality_name
4399,198033,Alex,Alex,Alexandre Henrique Gonçalves de Freitas,825000.0,8000.0,22,174,65,1887.0,Vitória de Guimarães,38,Portugal
4400,198104,D. Stahl,D. Stahl,Dominik Stahl,900000.0,9000.0,25,182,79,33.0,TSV 1860 München,21,Germany
4401,198261,T. Ream,T. Ream,Timothy Michael Ream,975000.0,10000.0,26,185,73,4.0,Bolton Wanderers,95,United States
4402,198276,G. Mertens,G. Mertens,Grégory Mertens,800000.0,9000.0,23,190,78,2007.0,Sporting Lokeren,7,Belgium
4403,198279,C. Schuler,C. Schuler,Chris Schuler,975000.0,10000.0,26,193,84,111065.0,Real Salt Lake,95,United States
4404,198560,Carlos Ruiz,Carlos Ruiz,Carlos Ruíz Aránega,700000.0,8000.0,30,179,75,260.0,CD Tenerife,45,Spain
4405,198600,J. Enríquez,J. Enríquez,Jorge Enríquez García,750000.0,15000.0,23,189,77,1880.0,Club Deportivo Guadalajara,83,Mexico
4406,198601,L. Mendoza,L. Mendoza,Luis Ángel Mendoza Escamilla,1000000.0,15000.0,24,173,71,1879.0,Club América,83,Mexico
4408,198630,Arroyo,Arroyo,Álvaro Arroyo Martínez,950000.0,9000.0,25,180,76,1860.0,Getafe CF,45,Spain
4409,198632,J. Zárate,J. Zárate,Jorge Alejandro Zárate Careaga,825000.0,8000.0,22,168,62,1028.0,Monarcas Morelia,83,Mexico
4410,198654,A. Kolomeytsev,A. Kolomeytsev,Aleksandr Kolomeytsev,1100000.0,9000.0,25,183,78,110234.0,Amkar Perm,40,Russia
4412,198749,J. Corona,J. Corona,Joe Benny Corona Crespín,925000.0,9000.0,23,172,73,111678.0,Club Tijuana,95,United States
4414,198790,Borja Gómez,Borja Gómez,Borja Gómez Pérez,975000.0,3000.0,26,183,81,110831.0,CD Lugo,45,Spain
4415,198817,R. Amalfitano,R. Amalfitano,Romain Amalfitano,1100000.0,10000.0,24,175,69,110569.0,Dijon FCO,18,France
4418,198951,C. Bakambu,C. Bakambu,Cédric Bakambu,1000000.0,10000.0,23,183,76,742.0,Bursaspor,18,France
4419,199149,M. Smith,M. Smith,Matthew Smith,625000.0,15000.0,31,180,80,111395.0,Brisbane Roar,195,Australia
4420,199152,D. Lekić,D. Lekić,Dejan Lekić,1000000.0,9000.0,29,193,88,467.0,SD Eibar,51,Serbia
4423,199288,A. Losilla,A. Losilla,Anthony Losilla,800000.0,10000.0,28,185,75,160.0,VfL Bochum 1848,18,France
4424,199353,M. Rzatkowski,M. Rzatkowski,Marc Rzatkowski,1100000.0,10000.0,24,172,65,110329.0,FC St. Pauli,21,Germany
4426,199392,M. Aguirregaray,M. Aguirregaray,Matías Aguirregaray Guruceaga,950000.0,15000.0,25,177,80,101083.0,Estudiantes de La Plata,60,Uruguay
4428,199562,Ilie Sánchez,Ilie Sánchez,Ilie Sánchez Farrés,750000.0,9000.0,23,181,69,33.0,TSV 1860 München,45,Spain
4429,199566,M. Nelom,M. Nelom,Paddy Miquel Nelom,800000.0,15000.0,23,174,69,246.0,Feyenoord,34,Netherlands
4430,199584,M. Kieftenbeld,M. Kieftenbeld,Maikel Kieftenbeld,1000000.0,9000.0,24,179,78,1915.0,FC Groningen,34,Netherlands
4431,199639,J. Cabral,J. Cabral,Jerson Cabral,925000.0,10000.0,23,177,69,1907.0,Willem II,34,Netherlands
4432,199651,Fernando Canesín,Fernando Canesín,Fernando Canesín Matos,925000.0,8000.0,22,174,70,682.0,KV Oostende,54,Brazil
4434,199752,S. Igboun,S. Igboun,Sylvester Emeka Igboun,925000.0,10000.0,23,173,73,1516.0,FC Midtjylland,133,Nigeria
4436,199912,S. Kittel,S. Kittel,Sonny Kittel,925000.0,8000.0,21,178,65,1824.0,Eintracht Frankfurt,21,Germany
4437,199931,Caetano,Caetano,Rui Miguel Teixeira Caetano,925000.0,10000.0,23,165,56,1888.0,Gil Vicente FC,38,Portugal
4438,200059,C. Coosemans,C. Coosemans,Colin Coosemans,725000.0,8000.0,21,186,83,110913.0,Waasland-Beveren,7,Belgium
4439,200207,C. Martínez Borja,C. Martínez Borja,Cristian Martínez Borja,1200000.0,10000.0,26,183,86,110145.0,Tiburones Rojos de Veracruz,56,Colombia
4440,200209,N. Larsen,N. Larsen,Nicolai Oppen Larsen,825000.0,10000.0,23,190,83,820.0,Aalborg BK,13,Denmark
4441,200395,M. Silva,M. Silva,Marcelo Andrés Silva Fernández,950000.0,9000.0,25,187,87,472.0,Unión Deportiva Las Palmas,60,Uruguay
4442,200425,M. te Wierik,M. te Wierik,Mike Jarno Maria te Wierik,700000.0,8000.0,22,191,73,100634.0,Heracles Almelo,34,Netherlands
4443,200469,L. Rupp,L. Rupp,Lukas Rupp,925000.0,9000.0,23,178,73,10030.0,SC Paderborn 07,21,Germany
4444,200517,Carles Planas,Carles Planas,Carles Planas Antolínez,800000.0,9000.0,23,173,76,450.0,RC Celta de Vigo,45,Spain
4446,201025,G. Bussmann,G. Bussmann,Gaëtan Bussmann,800000.0,9000.0,23,184,76,68.0,FC Metz,18,France
4448,201043,B. Dejaegere,B. Dejaegere,Brecht Dejaegere,925000.0,9000.0,23,173,70,674.0,KAA Gent,7,Belgium
4449,201066,D. Kaiser,D. Kaiser,Dominik Kaiser,1200000.0,10000.0,25,171,70,112172.0,RB Leipzig,21,Germany
4450,201136,M. Colin,M. Colin,Maxime Colin,700000.0,15000.0,22,180,76,229.0,RSC Anderlecht,18,France
4451,201141,T. Burlak,T. Burlak,Taras Burlak,900000.0,10000.0,24,187,78,110227.0,Rubin Kazan,40,Russia
4452,201271,J. Ankersen,J. Ankersen,Jakob Svarrer Ankersen,925000.0,9000.0,23,182,70,1445.0,Esbjerg fB,13,Denmark
4454,201452,D. Poloz,D. Poloz,Dmitriy Poloz,825000.0,8000.0,22,183,73,110231.0,FC Rostov,40,Russia
4455,202002,L. Landre,L. Landre,Loïck Landre,700000.0,8000.0,22,182,75,64.0,Racing Club de Lens,18,France
4456,202056,J. Ayoví,J. Ayoví,Jaime Javier Ayoví Corozo,1200000.0,15000.0,26,185,80,111706.0,Godoy Cruz,57,Ecuador
4457,202064,L. Arias,L. Arias,Luis Carlos Arias Cardona,900000.0,15000.0,29,167,70,101104.0,Club Independiente Santa Fe,56,Colombia
4459,202164,P. Kitchen,P. Kitchen,Perry Kitchen,650000.0,10000.0,22,183,73,688.0,D.C. United,95,United States
4460,202184,J. Plata,J. Plata,João Jimmy Plata Cotera,925000.0,8000.0,22,157,61,111065.0,Real Salt Lake,57,Ecuador
4463,202541,Jota,Jota,José Ignacio Peleteiro Ramallo,1000000.0,10000.0,23,180,70,1925.0,Brentford,45,Spain
4464,202557,Esmael,Esmael,Esmaël Ruti Tavares Cruz da Silva Gonçalves,1000000.0,10000.0,23,182,88,744.0,Rio Ave FC,38,Portugal
4465,202562,J. Roussillon,J. Roussillon,Jérôme Roussillon,700000.0,8000.0,21,181,77,226.0,FC Sochaux-Montbéliard,18,France
4466,202646,Alex Martínez,Alex Martínez,Alejandro Martínez Sánchez,800000.0,9000.0,23,176,64,449.0,Real Betis Balompié,45,Spain
4467,202780,A. Zamorano,A. Zamorano,Armando Cipriano Zamorano Flores,825000.0,7000.0,20,165,67,1028.0,Monarcas Morelia,83,Mexico
4469,203067,D. Chará,D. Chará,Diego Ferney Chara Zamora,800000.0,6000.0,28,172,68,111140.0,Portland Timbers,56,Colombia
4470,203177,D. Foulquier,D. Foulquier,Dimitri Foulquier,700000.0,3000.0,21,183,78,110832.0,Granada CF,18,France
4473,203377,A. Tighadouini,A. Tighadouini,Adnane Tighadouini,825000.0,8000.0,21,178,72,1904.0,NAC Breda,129,Morocco
4474,203440,D. Davari,D. Davari,Daniel Davari,1000000.0,10000.0,26,192,85,322.0,Grasshopper Club Zürich,161,Iran
4475,203537,S. Ameobi,S. Ameobi,Sammy Ameobi,825000.0,8000.0,22,194,77,13.0,Newcastle United,133,Nigeria
4476,203568,P. Wszołek,P. Wszołek,Paweł Marek Wszołek,925000.0,8000.0,22,186,77,1837.0,U.C. Sampdoria,37,Poland
4479,203763,L. de Sa,L. de Sa,Lesly de Sa,925000.0,8000.0,21,171,69,100632.0,Go Ahead Eagles,34,Netherlands
4480,203787,Diogo Cunha,Diogo Cunha,Nélson Diogo Freitas Cunha,950000.0,10000.0,28,170,60,1900.0,Moreirense FC,38,Portugal
4482,204136,M. de Leeuw,M. de Leeuw,Michael Jeroen Maarten Michiel de Leeuw,1100000.0,10000.0,27,178,67,1915.0,FC Groningen,34,Netherlands
4483,204138,R. Ligeon,R. Ligeon,Ruben Ewald Ligeon,700000.0,15000.0,22,168,65,245.0,Ajax,34,Netherlands
4484,204254,Wallace,Wallace,Wallace Oliveira dos Santos,700000.0,10000.0,20,175,72,1909.0,Vitesse,54,Brazil
4486,204534,N. Ramos,N. Ramos,Nelson Fernando Ramos Betancourt,800000.0,15000.0,32,188,83,101105.0,Millonarios FC,56,Colombia
4487,204638,W. Orban,W. Orban,Vilmos Tamás Orban,700000.0,8000.0,21,186,83,29.0,1. FC Kaiserslautern,21,Germany
4488,204677,Oriol Rosell,Oriol Rosell,Oriol Rosell Argerich,650000.0,15000.0,21,182,74,237.0,Sporting CP,45,Spain
4489,204757,Toño,Toño,Antonio García Aranda,900000.0,9000.0,24,179,69,1853.0,Levante Unión Deportiva,45,Spain
4491,205068,Cristiano,Cristiano,Cristiano Pereira Figueiredo,825000.0,9000.0,23,195,90,1901.0,Associação Académica de Coimbra,38,Portugal
4492,205084,P. Rakovsky,P. Rakovsky,Patrick Rakovsky,725000.0,8000.0,21,187,80,171.0,1. FC Nürnberg,21,Germany
4493,205157,Ruiz de Galarreta,Ruiz de Galarreta,Iñigo Ruiz de Galarreta Etxeberria,925000.0,10000.0,20,174,66,244.0,Real Zaragoza,45,Spain
4494,205353,Cristian Ceballos,Cristian Ceballos,Cristian Ceballos Prieto,825000.0,10000.0,21,182,77,18.0,Tottenham Hotspur,45,Spain
4495,205391,S. Meïté,S. Meïté,Soualiho Meïté,650000.0,10000.0,20,187,80,65.0,LOSC Lille,18,France
4497,205451,B. Röcker,B. Röcker,Benedikt Röcker,900000.0,9000.0,24,197,90,165.0,SpVgg Greuther Fürth,21,Germany
4499,205522,M. Paglialunga,M. Paglialunga,Mario Ángel Paglialunga,1100000.0,4000.0,25,182,78,2023.0,SD Ponferradina,52,Argentina
4501,205565,D. Bulthuis,D. Bulthuis,Dave Bulthuis,900000.0,9000.0,24,190,88,171.0,1. FC Nürnberg,34,Netherlands
4502,205641,L. Nangis,L. Nangis,Lenny Loïc Nangis,825000.0,8000.0,20,172,73,210.0,Stade Malherbe Caen,18,France
4505,205753,E. Salli,E. Salli,Edgar Nicaise Constant Salli,825000.0,8000.0,21,163,64,1901.0,Associação Académica de Coimbra,103,Cameroon
4506,205849,E. Andrada,E. Andrada,Esteban Maximiliano Andrada,825000.0,9000.0,23,193,80,110394.0,Arsenal de Sarandí,52,Argentina
4507,205897,N. Chalobah,N. Chalobah,Nathaniel Chalobah,750000.0,7000.0,19,185,75,1796.0,Burnley,14,England
4509,206018,I. Vetokele,I. Vetokele,Igor Mavuba Vetokele,925000.0,8000.0,22,173,74,89.0,Charlton Athletic,7,Belgium
4511,206198,D. Heintz,D. Heintz,Dominique Heintz,700000.0,7000.0,20,190,85,29.0,1. FC Kaiserslautern,21,Germany
4512,206218,P. Nardi,P. Nardi,Paul Nardi,725000.0,7000.0,20,186,74,1823.0,AS Nancy Lorraine,18,France
4513,206313,J. Lopy,J. Lopy,Joseph Romeric Lopy,650000.0,8000.0,22,182,73,226.0,FC Sochaux-Montbéliard,136,Senegal
4515,206585,Kepa Arrizabalaga,Kepa Arrizabalaga,Kepa Arrizabalaga Revuelta,650000.0,7000.0,19,186,81,448.0,Athletic Club de Bilbao,45,Spain
4516,206606,P. Hofmann,P. Hofmann,Philipp Hofmann,925000.0,8000.0,21,195,93,29.0,1. FC Kaiserslautern,21,Germany
4517,206633,L. Silva,L. Silva,Luis Saúl Silva López,1200000.0,15000.0,25,180,77,688.0,D.C. United,95,United States
4518,207494,J. Lingard,J. Lingard,Jesse Lingard,925000.0,15000.0,21,168,65,11.0,Manchester United,14,England
4520,207732,Roger,Roger,Roger Martí Salvador,1000000.0,10000.0,23,179,74,462.0,Real Valladolid CF,45,Spain
4524,207929,Pedro Henrique,Pedro Henrique,Pedro Henrique Konzen Medina da Silva,1000000.0,9000.0,24,179,72,74.0,Stade Rennais FC,54,Brazil
4525,207939,G. Pizarro,G. Pizarro,Guido Hernán Pizarro Demestri,1000000.0,9000.0,24,186,82,1970.0,Tigres U.A.N.L.,52,Argentina
4526,207984,A. González,A. González,Arturo Alfonso González González,750000.0,7000.0,19,173,70,101114.0,Club Atlas,83,Mexico
4527,208005,Abel Camará,Abel Camará,Abel Issa Camará,1100000.0,10000.0,24,185,81,1889.0,Belenenses SAD,38,Portugal
4529,208104,Matheus,Matheus,Matheus Lima Magalhães,725000.0,10000.0,21,187,76,1896.0,SC Braga,54,Brazil
4530,208153,L. Veldwijk,L. Veldwijk,Lars Veldwijk,925000.0,8000.0,22,196,95,14.0,Nottingham Forest,34,Netherlands
4532,208437,M. Eriksson,M. Eriksson,Magnus Lennart Eriksson,1100000.0,15000.0,24,180,82,320.0,Malmö FF,46,Sweden
4533,208448,E. Forsberg,E. Forsberg,Emil Peter Forsberg,825000.0,15000.0,22,175,74,320.0,Malmö FF,46,Sweden
4534,208461,M. de Roon,M. de Roon,Marten Elco de Roon,925000.0,9000.0,23,185,76,1913.0,SC Heerenveen,34,Netherlands
4535,208585,A. Ngando,A. Ngando,Axel Thomas Ngando Elessa,925000.0,8000.0,20,177,67,74.0,Stade Rennais FC,18,France
4537,208636,Lee Myung Joo,Lee Myung Joo,이명주 李明柱,,,24,176,72,,,167,South Korea
4539,208838,A. Romero,A. Romero,Andrés Fabrício Romero,1000000.0,4000.0,24,178,74,111139.0,Club de Foot Montréal,52,Argentina
4540,208968,F. Al Qarni,F. Al Qarni,Fawaz Balqassem Al Qarni,725000.0,15000.0,22,180,65,607.0,Al Ittihad,183,Saudi Arabia
4547,209620,A. Baba,A. Baba,Abdul Rahman Baba,625000.0,7000.0,19,179,70,100409.0,FC Augsburg,117,Ghana
4548,209635,G. Malfleury,G. Malfleury,Geoffrey Malfleury,1200000.0,10000.0,26,166,61,1738.0,Le Havre AC,18,France
4550,209674,D. Verbeek,D. Verbeek,Danny Verbeek,1000000.0,10000.0,23,182,65,1903.0,FC Utrecht,34,Netherlands
4552,209711,R. Thelander,R. Thelander,Rasmus Thelander,700000.0,10000.0,22,190,87,820.0,Aalborg BK,13,Denmark
4554,209723,M. Britos,M. Britos,Matías Britos Cardoso,1200000.0,15000.0,25,171,65,1881.0,Club Universidad Nacional,60,Uruguay
4555,209736,Victor Andrade,Victor Andrade,Victor Andrade Santos,825000.0,8000.0,18,171,60,234.0,SL Benfica,54,Brazil
4556,209738,A. Cadavid,A. Cadavid,Andrés Felipe Cadavid Cardona,825000.0,15000.0,28,188,87,101105.0,Millonarios FC,56,Colombia
4557,209782,S. Larsson,S. Larsson,Sam Larsson,825000.0,8000.0,21,180,76,1913.0,SC Heerenveen,46,Sweden
4558,210035,Grimaldo,Grimaldo,Alejandro Grimaldo García,600000.0,2000.0,18,176,71,110704.0,FC Barcelona B,45,Spain
4559,210042,J. Wurtz,J. Wurtz,Johannes Wurtz,925000.0,8000.0,22,182,74,165.0,SpVgg Greuther Fürth,21,Germany
4560,210241,D. Buballa,D. Buballa,Daniel Buballa,900000.0,9000.0,24,187,80,110329.0,FC St. Pauli,21,Germany
4561,210301,S. Tréllez,S. Tréllez,Santiago Tréllez Viveros,1100000.0,15000.0,24,185,81,101100.0,Atlético Nacional,56,Colombia
4562,210333,A. Szymanowski,A. Szymanowski,Alexander Szymanowski,1100000.0,15000.0,25,174,69,269.0,Brøndby IF,52,Argentina
4563,210372,R. Ghezzal,R. Ghezzal,Rachid Ghezzal,825000.0,15000.0,22,182,65,66.0,Olympique Lyonnais,18,France
4564,210406,P. Zieliński,P. Zieliński,Piotr Sebastian Zieliński,925000.0,8000.0,20,177,64,1746.0,Empoli,37,Poland
4565,210411,Otávio,Otávio,Otávio Edmilson da Silva Monteiro,850000.0,15000.0,19,171,65,236.0,FC Porto,54,Brazil
4567,210761,R. Pizarro,R. Pizarro,Rodolfo Gilbert Pizarro Thomas,700000.0,7000.0,20,172,73,110147.0,Pachuca,83,Mexico
4568,210868,José Mari,José Mari,José María Martín-Bejarano Serrano,925000.0,10000.0,26,183,70,694.0,Colorado Rapids,45,Spain
4573,211088,P. Mogilevets,P. Mogilevets,Pavel Mogilevets,650000.0,15000.0,21,183,70,100769.0,Zenit St. Petersburg,40,Russia
4574,211101,Rubén Blanco,Rubén Blanco,Rubén Blanco Veiga,625000.0,3000.0,18,188,70,450.0,RC Celta de Vigo,45,Spain
4576,211256,N. Tagliafico,N. Tagliafico,Nicolás Alejandro Tagliafico,700000.0,8000.0,21,171,67,110404.0,Club Atlético Banfield,52,Argentina
4577,211263,L. Magallán,L. Magallán,Lisandro Magallán,700000.0,10000.0,20,181,85,1877.0,Boca Juniors,52,Argentina
4578,211270,E. Saveljich,E. Saveljich,Esteban Ariel Saveljich,800000.0,15000.0,23,187,82,101085.0,Racing Club,52,Argentina
4579,211315,Israel,Israel,Israel Puerto Pineda,700000.0,8000.0,21,188,77,483.0,Villarreal CF,45,Spain
4582,211559,Tiago Rodrigues,Tiago Rodrigues,Tiago Filipe Sousa Nóbrega Rodrigues,825000.0,15000.0,22,177,69,236.0,FC Porto,38,Portugal
4584,212213,Ricardo Esgaio,Ricardo Esgaio,Ricardo Sousa Esgaio,700000.0,15000.0,21,173,72,237.0,Sporting CP,38,Portugal
4585,212230,Iuri Medeiros,Iuri Medeiros,Iuri José Picanço Medeiros,750000.0,15000.0,19,174,65,237.0,Sporting CP,38,Portugal
4586,212245,Y. Gerhardt,Y. Gerhardt,Yannick Gerhardt,825000.0,7000.0,20,184,79,31.0,1. FC Köln,21,Germany
4588,212442,José Sá,José Sá,José Pedro Malheiro de Sá,725000.0,8000.0,21,192,84,1893.0,Clube Sport Marítimo,38,Portugal
4589,212457,O. Vásquez,O. Vásquez,Edson Omar Vásquez Ortega,1100000.0,15000.0,24,167,62,101105.0,Millonarios FC,56,Colombia
4590,212465,M. Jones,M. Jones,Matthew Robert Jones,950000.0,10000.0,28,190,81,1889.0,Belenenses SAD,14,England
4591,212491,F. Masuaku,F. Masuaku,Fuka Arthur Masuaku,700000.0,10000.0,20,179,70,280.0,Olympiacos CFP,18,France
4592,212519,R. Philippoteaux,R. Philippoteaux,Romain Philippoteaux,1100000.0,10000.0,26,170,67,110569.0,Dijon FCO,18,France
4593,212592,A. Farrell,A. Farrell,Andrew Farrell,700000.0,8000.0,22,180,75,691.0,New England Revolution,95,United States
4595,212623,Santi Mina,Santi Mina,Santiago Mina Lorenzo,825000.0,3000.0,18,180,71,450.0,RC Celta de Vigo,45,Spain
4596,212722,D. Yedlin,D. Yedlin,DeAndre Roselle Yedlin,700000.0,7000.0,20,173,73,111144.0,Seattle Sounders FC,95,United States
4597,212784,M. Ibrahim,M. Ibrahim,Mohamed Ibrahim,925000.0,8000.0,22,178,70,1893.0,Clube Sport Marítimo,111,Egypt
4599,212911,Hernâni,Hernâni,Hernâni Jorge Santos Fortes,825000.0,8000.0,22,180,70,1887.0,Vitória de Guimarães,38,Portugal
4600,212977,N. Stark,N. Stark,Niklas Stark,575000.0,7000.0,19,190,81,171.0,1. FC Nürnberg,21,Germany
4601,213000,S. van Beek,S. van Beek,Sven van Beek,625000.0,10000.0,19,190,76,246.0,Feyenoord,34,Netherlands
4602,213021,A. Conte,A. Conte,Antoine Conte,700000.0,7000.0,20,179,72,379.0,Stade de Reims,18,France
4604,213251,J. Ferrari,J. Ferrari,Jonathan Marcelo Ferrari,900000.0,3000.0,27,187,77,110392.0,Atlético de Rafaela,52,Argentina
4605,213317,Kim Jin Su,Kim Jin Su,킴진수 金珍洙,700000.0,8000.0,22,176,67,10029.0,TSG Hoffenheim,167,South Korea
4606,213331,J. Tah,J. Tah,Jonathan Tah,600000.0,3000.0,18,192,90,110636.0,Fortuna Düsseldorf,21,Germany
4607,213360,F. Fokobo,F. Fokobo,Fabrice Fokobo,700000.0,10000.0,20,185,83,237.0,Sporting CP,103,Cameroon
4608,213400,D. Laxalt,D. Laxalt,Diego Sebastián Laxalt Suárez,825000.0,8000.0,21,178,66,1746.0,Empoli,60,Uruguay
4609,213581,H. Nervo,H. Nervo,Hugo Martín Nervo,800000.0,9000.0,23,183,82,110394.0,Arsenal de Sarandí,52,Argentina
4611,213985,É. Palomino,É. Palomino,Edinson Manuel Palomino Marrugo,1100000.0,10000.0,28,170,64,112578.0,Rionegro Águilas,56,Colombia
4612,214005,V. Giraldo,V. Giraldo,Víctor Hugo Giraldo López,825000.0,15000.0,28,177,72,101102.0,Deportivo Cali,56,Colombia
4613,214006,Y. Candelo,Y. Candelo,Yerson Candelo Miranda,700000.0,15000.0,22,171,66,101102.0,Deportivo Cali,56,Colombia
4614,214018,J. Cabezas,J. Cabezas,Juan David Cabezas Núñez,750000.0,15000.0,23,182,79,101102.0,Deportivo Cali,56,Colombia
4615,214021,F. Torijano,F. Torijano,Fáiner Torijano Cano,950000.0,15000.0,25,182,78,101102.0,Deportivo Cali,56,Colombia
4616,214092,A. Miranchuk,A. Miranchuk,Aleksey Miranchuk,825000.0,6000.0,18,182,74,100765.0,FC Lokomotiv Moscow,40,Russia
4617,214106,J. Lopera,J. Lopera,Jonathan Lopera Jiménez,900000.0,15000.0,27,181,77,101106.0,Once Caldas,56,Colombia
4618,214111,S. Otálvaro,S. Otálvaro,Sérgio Andrés Otálvaro Botero,900000.0,15000.0,27,179,73,101104.0,Club Independiente Santa Fe,56,Colombia
4619,214132,Y. Chará,Y. Chará,Yimmi Javier Chara Zamora,1000000.0,10000.0,23,167,67,111722.0,Club Deportes Tolima,56,Colombia
4621,214204,W. Zapata,W. Zapata,William Zapata Brand,1100000.0,10000.0,26,185,80,111723.0,Deportivo Pasto,56,Colombia
4622,214222,L. Giovini,L. Giovini,Lucas Raúl Giovini Schiapino,800000.0,8000.0,32,192,89,112535.0,Unión La Calera,52,Argentina
4625,214315,L. Narváez,L. Narváez,Luis Manuel Narváez Pitalúa,725000.0,15000.0,29,179,82,101101.0,Junior FC,56,Colombia
4626,214329,J. Álvarez,J. Álvarez,Jonathan Esteban Álvarez Isaza,1100000.0,10000.0,27,177,76,112526.0,Envigado FC,56,Colombia
4627,214369,A. Andrade,A. Andrade,Andrés Felipe Andrade Torres,1200000.0,5000.0,25,172,70,112679.0,Jaguares de Chiapas,56,Colombia
4628,214390,H. Rojas,H. Rojas,Henry Andrés Rojas Delgado,1200000.0,7000.0,26,177,74,112579.0,Alianza Petrolera,56,Colombia
4629,214395,C. Monsalvo,C. Monsalvo,Charles Junior Monsalvo Peralta,1100000.0,10000.0,24,174,71,111722.0,Club Deportes Tolima,56,Colombia
4630,214396,F. Noguera,F. Noguera,Félix Enrique Noguera Collante,900000.0,10000.0,27,177,75,111722.0,Club Deportes Tolima,56,Colombia
4631,214483,C. Arboleda,C. Arboleda,Carlos Mario Arboleda Ampudia,825000.0,10000.0,28,169,58,112578.0,Rionegro Águilas,56,Colombia
4632,214488,J. Vásquez,J. Vásquez,Jhonny Alexander Vásquez Salazar,975000.0,15000.0,26,179,80,101101.0,Junior FC,56,Colombia
4633,214493,J. Aguirre,J. Aguirre,Jorge Andrés Aguirre Restrepo,1100000.0,15000.0,27,169,68,101101.0,Junior FC,56,Colombia
4634,214498,N. Barahona,N. Barahona,Nelson Alberto Barahona Collins,1200000.0,7000.0,26,171,66,112579.0,Alianza Petrolera,87,Panama
4635,214576,L. Estacio,L. Estacio,Luis Alberto Estacio Valverde,650000.0,5000.0,34,190,90,111722.0,Club Deportes Tolima,56,Colombia
4636,214603,F. Díaz,F. Díaz,Farid Alfonso Díaz Rhenals,700000.0,15000.0,30,170,72,101100.0,Atlético Nacional,56,Colombia
4641,214918,M. Mier,M. Mier,Henry Matías Mier Codina,925000.0,9000.0,23,181,73,110976.0,Santiago Wanderers,60,Uruguay
4642,215043,S. Pol,S. Pol,Marcos Sebastián Pol,1200000.0,10000.0,26,175,74,101097.0,Audax Italiano,52,Argentina
4643,215061,D. Benedetto,D. Benedetto,Darío Ismael Benedetto,1100000.0,10000.0,24,175,70,111678.0,Club Tijuana,52,Argentina
4645,215157,F. Lértora,F. Lértora,Federico Eduardo Lértora,750000.0,9000.0,23,176,73,111706.0,Godoy Cruz,52,Argentina
4646,215162,A. Donatti,A. Donatti,Alejandro César Donatti,900000.0,10000.0,27,191,85,110580.0,Rosario Central,52,Argentina
4647,215186,J. Copete,J. Copete,Jonathan Copete Valencia,1200000.0,15000.0,26,187,72,101100.0,Atlético Nacional,56,Colombia
4648,215254,L. Lollo,L. Lollo,Mauricio Luciano Lollo,900000.0,15000.0,27,183,87,101085.0,Racing Club,52,Argentina
4649,215262,F. Márquez,F. Márquez,Fernando Andrés Márquez,1200000.0,7000.0,26,183,75,111022.0,Belgrano de Córdoba,52,Argentina
4650,215331,L. Jara,L. Jara,Leonardo Rafael Jara,800000.0,15000.0,23,183,81,101083.0,Estudiantes de La Plata,52,Argentina
4652,215533,S. Stevens,S. Stevens,Sonny Stevens,725000.0,10000.0,22,194,87,1908.0,FC Twente,34,Netherlands
4653,215886,D. Kreilach,D. Kreilach,Damir Kreilach,900000.0,9000.0,25,186,80,1831.0,1. FC Union Berlin,10,Croatia
4654,215942,M. El Makrini,M. El Makrini,Mohamed El Makrini,925000.0,10000.0,26,184,74,647.0,SC Cambuur,34,Netherlands
4655,216015,N. Moiraghi,N. Moiraghi,Néstor Emanuel Moiraghi,775000.0,2000.0,29,179,86,110398.0,Club Olimpo,52,Argentina
4656,216020,L. Gil,L. Gil,Leonardo Roque Gil,925000.0,2000.0,23,172,67,110398.0,Club Olimpo,52,Argentina
4658,216054,N. Domínguez,N. Domínguez,Nery Andrés Domínguez,1000000.0,9000.0,24,184,75,110580.0,Rosario Central,52,Argentina
4660,216314,M. Olivi,M. Olivi,Mauro Andrés Olivi Castañeda,750000.0,9000.0,31,175,73,101097.0,Audax Italiano,52,Argentina
4662,216335,Y. Gazinskiy,Y. Gazinskiy,Yuriy Gazinskiy,850000.0,9000.0,24,184,75,112218.0,FC Krasnodar,40,Russia
4666,216492,G. Oboabona,G. Oboabona,Godfrey Oboabona Itama,800000.0,9000.0,23,186,79,101037.0,Çaykur Rizespor,133,Nigeria
4668,216706,F. Mussis,F. Mussis,Franco Gabriel Mussis,825000.0,10000.0,22,174,75,110556.0,Genoa,52,Argentina
4669,217287,J. De Sart,J. De Sart,Julien Ariel De Sart,575000.0,10000.0,19,187,72,232.0,Standard de Liège,7,Belgium
4671,218848,J. Sanguinetti,J. Sanguinetti,Javier Andrés Sanguinetti,1000000.0,10000.0,23,173,63,112019.0,Boyacá Chicó FC,52,Argentina
4672,219174,R. Carrera,R. Carrera,Ramiro Ángel Carrera,825000.0,8000.0,22,182,72,110394.0,Arsenal de Sarandí,52,Argentina
4674,219455,J. Calleri,J. Calleri,Jonathan Calleri,925000.0,15000.0,20,179,75,1877.0,Boca Juniors,52,Argentina
4675,219468,Luis Silva,Luis Silva,Luís Manuel Costa Silva,825000.0,8000.0,21,185,75,1888.0,Gil Vicente FC,38,Portugal
4676,219525,E. Cerutti,E. Cerutti,Ezequiel Osvaldo Cerutti,925000.0,15000.0,22,171,72,101083.0,Estudiantes de La Plata,52,Argentina
